GEOID,2020_eviction,2021_eviction,2022_eviction,2023_eviction,own_occ_rate,pop,hh,r_hh,eviction_rate,rank_eviction_rate,corp_own_rate,rank_corp_own_rate,non_white_rate,rank_non_white_rate,o_mhi,mhi,rank_mhi,r_mhi,rank_r_mhi,white_rate,black_rate,hispanic_rate,asian_rate,othr_race_rate
25025000100,10.0,25.0,32.0,31.0,0.2974036191974823,4254,1616,1135,2.730325524153759,70.0,0.2297403619197482,39.0,41.04372355430183,96.0,82944.0,53699.0,91.0,50102.0,120.0,58.956276445698165,5.853314527503526,14.598025387870239,11.001410437235542,9.590973201692528
25025000201,3.0,9.0,10.0,7.0,0.380901287553648,3854,1541,954,0.7337286890841548,123.0,0.1695278969957081,86.0,29.216398546964196,120.0,86765.0,64792.0,118.0,62480.0,138.0,70.7836014530358,6.3310845874416195,10.560456668396471,8.354955889984431,3.969901401141678
25025000202,7.0,2.0,4.0,16.0,0.4768460575719649,3885,1480,774,2.0664683822578556,88.0,0.1714643304130162,84.0,38.996138996138995,102.0,63679.0,53542.0,89.0,48333.0,115.0,61.003861003861005,7.027027027027027,15.34105534105534,13.513513513513514,3.114543114543112
25025000301,0.0,2.0,6.0,2.0,0.4175050301810865,2740,1159,675,0.2962472860142371,144.0,0.1720321931589537,83.0,25.18248175182482,125.0,88056.0,89236.0,148.0,93194.0,165.0,74.81751824817519,4.525547445255475,6.934306569343065,10.766423357664232,2.9562043795620365
25025000302,2.0,0.0,2.0,2.0,0.4614670380687093,3142,1276,687,0.29104961625770187,146.0,0.1132776230269266,136.0,26.9573520050923,124.0,71569.0,78198.0,138.0,85455.0,160.0,73.04264799490771,2.8325907065563336,7.28835136855506,14.290260980267346,2.546148949713549
25025000401,1.0,6.0,8.0,4.0,0.2574484339190221,5672,2877,2136,0.18723779199583468,156.0,0.1764705882352941,80.5,27.909026798307472,123.0,51563.0,35104.0,42.0,29583.0,54.0,72.09097320169252,2.32722143864598,5.059943582510578,18.194640338504936,2.327221438645985
25025000402,4.0,1.0,3.0,1.0,0.3607532210109019,3648,1461,933,0.10707331179132908,160.0,0.1605550049554014,95.0,25.05482456140351,127.0,116667.0,55459.0,98.0,46800.0,109.0,74.9451754385965,1.8914473684210527,5.180921052631579,14.884868421052634,3.097587719298243
25025000502,4.0,0.0,21.0,6.0,0.2098092643051771,6303,1872,1479,0.40561450044208663,138.0,0.3260672116257947,8.0,25.13089005235602,126.0,96648.0,46205.0,68.0,39342.0,90.0,74.86910994764398,4.251943518959226,7.07599555767095,11.169284467713787,2.633666508012059
25025000503,1.0,2.0,3.0,3.0,0.2317210348706411,2211,1341,1030,0.2911880406549601,145.0,0.1327334083239595,121.0,21.347806422433287,134.0,49688.0,49531.0,79.0,47337.0,112.0,78.6521935775667,2.4875621890547266,4.341926729986431,11.940298507462686,2.5780189959294493
25025000504,7.0,17.0,10.0,16.0,0.2692036645525018,4985,2637,1927,0.8302588086093274,120.0,0.1818181818181818,68.0,22.527582748244733,133.0,75521.0,33444.0,38.0,26264.0,40.0,77.47241725175526,3.3701103309929787,6.37913741223671,10.772316950852558,2.006018054162494
